name,address,contact_person,telephone,fax,email,website,organisation,organisation_website
"Altersgerechtes Wohnen, Leipzig","Leibnitzstraße 6/8
04288 Leipzig",Leiterin Fibu: Anke Mattern,034297/9888916,034297/9888912,a.mattern@awo-leipzigerland.de,,AWO Kreisverband Leipziger-Land e.V.,http://www.awo-leipzigerland.de
"Altersgerechtes Wohnen, Großpösna","Magdeborner Str. 18a/c
04463 Großpösna",Leiterin Fibu: Anke Mattern,034297/9888916,034297/9888912,.mattern@awo-leipzigerland.de,,AWO Kreisverband Leipziger-Land e.V.,http://www.awo-leipzigerland.de
"Altersgerechtes Wohnen, Reichenbach","Obere Dunkelgasse 45
08468 Reichenbach",Sachgebietsleiter: Frau Luckner,03765/555052,,luckner@awovogtland.de,http://www.awovogtland.de/wohnungsvermietung/wohnungsvermietung,"AWO Vogtland, Bereich Reichenbach e.V.",http://www.awovogtland.de
"Alzheimer Selbsthilfegruppe Bad Düben, Bad Düben","Neuhofstraße 19 A
04849 Bad Düben",Frau: Antje Lehmann,034243/24276,034243/51309,heiko.kunze@awo-nordsachsen.de,http://www.awo-nordsachsen.de,AWO Kreisverband Nordsachsen e.V.,http://www.awo-nordsachsen.de
"Ambulant betreutes Wohnen für chronisch mehrfach geschädigte Abhängigkeitskranke, Bad Schlema","Markus-Semmler-Straße 20
08301 Bad Schlema",Frau: Jana Hänel,03772 3729299,03772 3729394,j.haenel@awo-erzgebirge.de,http://https://www.awo-erzgebirge.de/index.php/angebote/pflege-suchthilfe-und-psychosoziale-hilfen/suchthilfe/ambulant-betreutes-wohnen-fuer-chronisch-mehrfachgeschaedigte-abhaengigkeitskranke,AWO Kreisverband Aue/Schwarzenberg e.V.,http://www.awo-erzgebirge.de
"Ambulant betreutes Wohnen für chronisch psychisch Kranke, Schwarzenberg","Straße der Einheit 57
08340 Schwarzenberg",Frau: Katrin Mitte,03774 61018,03774 61018,amb.betreutes.wohnen@awo-erzgebirge.de,http://https://www.awo-erzgebirge.de/index.php/angebote/pflege-suchthilfe-und-psychosoziale-hilfen/psychosoziale-ambulanz,AWO Kreisverband Aue/Schwarzenberg e.V.,http://www.awo-erzgebirge.de
"Ambulant Betreutes Wohnen für Haftentlassene (ABW), Chemnitz","Wiesenstraße 10
09111 Chemnitz",Frau: Maria Seifert,0371 6742628,0371 6742625,wndh@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/beratung-und-hilfe/straffaelligenhilfe/2013-11-04-11-02-39,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Ambulant betreutes Wohnen nach § 53 SGB XII, Bautzen","Löbauer Straße 50
02625 Bautzen",Ansprechpartnerin: Britt Witschel,035913261155,,britt.witschel@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Ambulant betreutes Wohnen zur Vermeidung von Obdachlosigkeit nach § 67 SGB XII, Bautzen","Löbauer Straße 48
02625 Bautzen",Sozialbetreuerin: Martina Arndt,035913261149,035913261148,martina.arndt@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Ambulante Dienste/Pflegedienst, Schneeberg","Keilbergring 10
08289 Schneeberg",Frau: Gitte Schult,03772 3729297,03772 3729424,ambulante.dienste@awo-erzgebirge.de,http://https://www.awo-erzgebirge.de/index.php/angebote/pflege-suchthilfe-und-psychosoziale-hilfen/ambulanter-pflegedienst,AWO Kreisverband Aue/Schwarzenberg e.V.,http://www.awo-erzgebirge.de
"Ambulante Hilfen zur Erziehung, Löbau","Richard-Müller-Straße 14
02708 Löbau",Leiterin: Manuela Friedrich,03585/4674020,03585/4674029,ambulante.hilfen-loebau@awo-oberlausitz.de,http://awo-oberlausitz.de/kinder-jugend-familie/ambulante-hilfen-zur-erziehung-loebau/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Ambulante Hilfen zur Erziehung, Freital","Dresdner Straße 162
01705 Freital",Leiterin: Lukrezia Gardke,0351 65260433,0351 6417694,familienhilfe-ftl@awo-weisseritzkreis.de,www.awo-weisseritzkreis.de,AWO Kreisverband Weißeritzkreis e.V.,http://www.awo-weisseritzkreis.de
"Ambulante Hilfen zur Erziehung Mutter-Kind-Kur-Beratung, Dippoldiswalde","Niedertorstraße 5
01744 Dippoldiswalde",Mitarbeiterin: Silvia Walther,"03504 610035, 03504 618958",03504 610015,familienhilfe-dw@awo-weisseritzkreis.de,http://www.awo-weisseritzkreis.de,AWO Kreisverband Weißeritzkreis e.V.,http://www.awo-weisseritzkreis.de
"Ambulante Maßnahmen der Jugendgerichtshilfe/Betreuungsweisung , Döbeln","Nordstraße 2
04720 Döbeln","Sozialpädagoginnen: Anke Lilienthal,  Martina Scheithauer",03431 625934,03431 678621,massnahmen-jgh-dl@awo-familienzentrum.org,http://www.awo-mulde-collm.de,AWO Familienzentrum gGmbH,http://www.awo-familienzentrum.org
"Ambulante Straffälligenhilfe, Torgau","Bahnhofsstraße 7
04860 Torgau",Teamleiterin: Birgit Wiktorowski,03421 7629793,03421 7629794,b.wiktorowski@awo-nordsachsen.de,http://www.awo-nordsachsen.de,AWO Kreisverband Nordsachsen e.V.,http://www.awo-nordsachsen.de
"Ambulanter Pflegedienst, Radeberg","Pulsnitzer Straße 67
01454 Radeberg",Pflegedienstleiterin: Nancy Awihsus,03528-45 55 820,03528-45 55 821,pflegedienst@awo-radeberg.de,http://www.awo-radeberg.de,AWO Regionalverband Radeberger Land e.V.,http://www.awo-radeberg.de
"Ambulanter Pflegedienst der AWO Lausitz, Hoyerswerda","Thomas-Müntzer-Str. 26d
02977 Hoyerswerda",Herr: Torsten Bessert,03571-4885700,03571-4885605,t.bessert@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
"Ambulanter Pflegedienst Görlitz, Görlitz","Krölstraße 46
02826 Görlitz",Pflegedienstleiterin: Maria Kieslich,03581 464164,03581 464165,pflegedienst-goerlitz@awo-oberlausitz.de,http://awo-oberlausitz.de/altenhilfe/ambulanter-pflegedienst-goerlitz/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Ambulanter Pflegedienst Löbau, Löbau","Richard-Müller-Straße 14
02708 Löbau",Pflegedienstleiterin: Mariel Kuche,03585/4674030,03585/ 4674039,Pflegedienst-loebau@awo-oberlausitz,http://awo-oberlausitz.de/altenhilfe/ambulanter-pflegedienst-loebau/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Anti-Gewalt-Training, Grimma","Frauenkirchhof 1
04668 Grimma",Sozialpädagogin: Nicole Handke,03437 941982,03437 941984,massnahmen-jgh@awo-familienzentrum.org,http://www.awo-mulde-collm.de,AWO Familienzentrum gGmbH,http://www.awo-familienzentrum.org
"Arbeitsweltbezogene Jugendsozialarbeit ""FUTURA"", sozpäd. Betreuung v. Arbeitsstunden, Projekt f. schulmüde Jugendliche, Grimma","Stecknadelallee 1
04668 Grimma",Leiterin: Nadine Ubl,03437 7493014,03437 9270424,futura@awo-familienzentrum.org,http://www.awo-mulde-collm.de,AWO Familienzentrum gGmbH,http://www.awo-familienzentrum.org
"Außenwohngruppe der Kinder- und Jugendhilfe Weißwasser, Weißwasser","Eisenbahnstr. 5
02943 Weißwasser",Frau: Carina Israel,03571-4885610,03571-4885605,bl-kjh@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
"AWO ""Essenauf Rädern"", Freiberg","Karl-Günzel-Straße 1
09599 Freiberg",Leiterin mobiler Hilfsdienst: Frau Geyer,03731/795-540,,essen@awo-freiberg.de,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Akademie Mitteldeutschland, Leipzig","Gerhard-Ellrodt-Straße 26
04249 Leipzig",,0341 9098152,0341 9098153,k.engel@spi-ost.de,http://www.awoakademie.de,SPI Soziale Stadt und Land Entwicklungsgesellschaft mbH,http://www.spi-ost.de
"AWO Ambulant betreutes Wohnen im Raum Dippoldiswalde,","
",,03504 694810,03504 694811,abw.dippoldiswalde@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ambulant betreutes Wohnen in Dresden,","
",,0351 47783-0,0351 47783-99,abw.dresden@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ambulant betreutes Wohnen in Pirna, Heidenau und Umgebung, Pirna","
01796 Pirna",,03501 710971,03501 710978,abw.pirna@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ambulante Hilfen zur Erziehung, Pirna","Maxim-Gorki-Straße 15
01796 Pirna",,03501 528157,03501 571593,info24@awo-kiju.de,http://https://www.awo-kiju.de,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ambulante Hilfen zur Erziehung, Dresden","Robert-Matzke-Str. 39
01127 Dresden",,0351 8435547,0351 8581070,info26@awo-kiju.de,http://www.awo-kiju.de,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ambulante Pflege in Breitenbrunn, Breitenbrunn","Am Weißwald 9
08359 Breitenbrunn",,037756 80977,037756 79141,mail11@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ambulante Physiotherapie, Grünhain-Beierfeld","Auer Str. 84
08344 Grünhain-Beierfeld",Ansprechpartnerin: Frau  Radecker,03774-6610,03774-66145,gruenhain@awo-suedsachsen.de,http://www.vorsorgeklinik-grünhain.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Angehörigengruppe für pflegende Angehörige, Dresden","Herzberger Straße 2 - 4
01239 Dresden",,0351 28916-13,0351 28916-17,mail23@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Arbeitsmarktmentoren, Pirna","Gerichtsstraße 4 a
01796 Pirna",,03501 5091600,03501 5091601,arbeitsmarktmentoren@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Außenwohngruppe des Kinder- und Jugendwohnens ""Tannenmühle"" Erlbach, Markneukirchen","
08258 Markneukirchen",Ansprechpartnerin: Frau  Dr. Puggel & Frau Langhammer,037422/6196,037422/2364,kht@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Außenwohngruppe des Wohnzentrums für Menschen mit Behinderung, Mittweida","Wiesenstraße 3
09648 Mittweida",Einrichtungsleiterin: Frau Seydel,03727/96910,03727/9691124,bwhmittweida@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Außenwohngruppe in Dresden,","
",,0351 41749-0,0351 41749-11,awg.dresden@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Außenwohngruppen des Gemeinschaftlichen Wohnens „Haus Sonnenleithe“, Schwarzenberg","
08340  Schwarzenberg",Ansprechpartnerin: Frau Mittmann,03774-176450,03774-17645124,ws-szb@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Außenwohngruppen in Dippoldiswalde,","
",,Mobil 0172 1398792,03504 694811,awg.dippoldiswalde@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Außenwohngruppen in Pirna,","
",,03501 710971,03501 710978,awg.pirna@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Begegnung und Beratung für Senioren und Angehörige - Seniorenbegegnungsstätte in Cotta, Dresden","Hainsberger Straße 2
01159 Dresden",,0351 4135471,,mail19@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Begegnung und Beratung für Senioren und Angehörige - Seniorenbegegnungsstätte in Prohlis, Dresden","Prohliser Allee 31
01239 Dresden",,0351 3230560,0351 3230561,mail18@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Begegnungsstätte, Freiberg","Forstweg 67
09599 Freiberg",Ansprechpartnerin: Kerstin Hesky,03731/795-597,,,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Begegnungsstätte, Niederwiesa","Dresdner Straße 24
09577 Niederwiesa",Ansprechpartnerin: Ingeborg Schubert,03726/713833,,,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Begegnungsstätte ""Zur Goldenen Pforte"", Freiberg","Untermarkt 21/22
09599 Freiberg",Ansprechpartnerin: Kerstin Hesky,03731/774815,,,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Beratung und Sozialbetreuung von Asylbewerbern, Pirna","Gerichtsstraße 4 a
01796 Pirna",,03501 5091583,03501 5091588,asyl2@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Beratungsstelle für Kinder, Jugendliche und Familien -Ausweg-, Dresden","Hüblerstraße 3
01309 Dresden",,0351 3100221,0351 3100224,info25@awo-kiju.de,http://https://www.awo-kiju.de,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Beratungsstelle für Schwangerschaft, Schwangerschaftskonflikte, Familienplanung und Sexualität , Mittweida","Am Bahnhof 4
09648 Mittweida",Beraterinnen: Frau Gabriel Frau Kellig,03727 9976934 / 03727 9976935,03727 9976948,SKB@awo-mittweida.de,http://www.awo-mittweida.de,AWO Kreisverband Mittweida e.V.,http://www.awo-suedsachsen.de
"AWO Beratungsstelle für Schwangerschaft, Schwangerschaftskonflikte, Familienplanung und Sexualität (Außenstelle), Frankenberg","Freiberger Straße 50
09669 Frankenberg",Beraterin: Frau  Kellig,037206 884066,03727 955-724,SKB@awo-mittweida.de,http://www.awo-mittweida.de,AWO Kreisverband Mittweida e.V.,http://www.awo-suedsachsen.de
"AWO Beratungsstelle für Senioren und Angehörige, Dresden","Herzberger Straße 2 - 4
01239 Dresden",,0351 28916-13,0351 28916-17,mail23@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Betreutes Wohnen, Oelsnitz/Erzg.","Finkensteig 6
09376 Oelsnitz/Erzg.",Ansprechpartnerin: Frau Mattheß,037298-3300,037298-33024,szoelsnitz@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Betreutes Wohnen, Mittweida","Weberstraße 52
09648 Mittweida",Ansprechpartnerin: Frau Gabriel,03727 955-701,03727 955-724,info@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Betreutes Wohnen am Forstweg, Freiberg","Forstweg 65/67
09599 Freiberg",Ansprechpartnerin: Kerstin Hesky,03731/795-597,,,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Betreutes Wohnen Markranstädt, Markranstädt","Eisenbahnstraße 11
04420 Markranstädt",Einrichtungsleiterin: Evelin Schwennicke,(034205) 42660,(034205) 426629,sz-markranstaedt@awo-sachsen-west.de,http://www.awo-sachsen-west.de/bw-markranstaedt,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Betreutes Wohnen Seniorenwohnanlage Goldene Pforte, Freiberg","Untermarkt 21/22
09599 Freiberg",Ansprechpartnerin: Angela Weißmann,03731/795-597,,,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Clearingstelle | Wohnheim für Asylsuchende, Dresden","Heidenauer Straße 49
01259 Dresden",,0351 79676990,0351 79670337,mail27@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Ergotherapie, Dresden","Prohliser Allee 31
01239 Dresden",,0351 2813579,0351 3230561,,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Fachstelle zur Prävention sexualisierter Gewalt gegen Kinder und Jugendliche ""Shukura""					, Dresden","Königsbrücker Straße 62
01099 Dresden",,0351 4794444,0351 4799179,info22@awo-kiju.de,http://www.awo-kiju.de,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Familiennest Schöneck des Kinder- und Jugendwohnens ""Tannenmühle"" Erlbach, Schöneck","
08261 Schöneck",Ansprechpartnerin: Frau  Dr. Puggel & Frau Langhammer,037422/6196,037422/2364,kht@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Familienzentrum Altpieschen, Dresden","Robert-Matzke-Str. 39
01127 Dresden",,0351 8435547,0351 8581070,info26@awo-kiju.de,http://www.awo-kiju.de,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO FAN-Projekt, Chemnitz","Rembrandtstraße 47
09111 Chemnitz",,0371 9091977,0371 9091978,fanprojekt@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/kinder-jugend-familie/fan-projekt-chemnitz,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"AWO Ganztagesbetreuung, Freiberg","Karl-Günzel-Straße 1
09599 Freiberg",Ansprechpartner: Jörg Löbner,03731/795-727,,,,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Gemeinschaftliches Wohnen „Haus Sonnenleithe“, Schwarzenberg","Am Fichtbusch 52
08340 Schwarzenberg",Ansprechpartnerin: Frau Mittmann,03774/176450,03774/17645124,ws-szb@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Gemeinschaftliches Wohnen „Haus Sonnenleithe“, Schwarzenberg","Am Fichtbusch 52
08340 Schwarzenberg",Ansprechpartnerin: Frau Mittmann,03774-176450,03774-17645124,ws-szb@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Gerontopsychiatrische Tagespflege, Dresden","Herzberger Straße 2 - 4
01239 Dresden",,0351 28916-16,0351 28916-17,mail22@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Gerontopsychiatrisches Pflegeheim  „Marie Juchacz“ (Leipzig-Mockau), Leipzig","Friedrichshafner Str. 191
04357 Leipzig",Einrichtungsleiterin: Grit Rudolph,(0341) 609110,(0341)  6091112,sz-juchacz@awo-sachsen-west.de,http://www.awo-sachsen-west.de/,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Heim ,,Im Göltzschtal'', Rodewisch","Bahnhofstraße 2
08228 Rodewisch",Einrichtungsleiter: Tobias Zschippang,03744 3517413,03744 3517467,t.zschippang@awo-vogtland.de,http://www.awo-vogtland.de,AWO Soziale Dienste Göltzschtal gGmbH,http://https://www.awo-vogtland.de/
"AWO Herz & Bauch - Catering und Menüservice, Auerbach","Eisenbahnstraße 5
08209 Auerbach",Abteilungsleiter: Danny Petzold,03744 36553232,03744 36553233,d.petzold@awo-vogtland.de,http://www.awo-vogtland.de,AWO Vogtland Service gGmbH,http://https://www.awo-vogtland.de/
"AWO Hort ""Am Friedenspark"", Pirna","Nicolaistraße 3
01796 Pirna",Anrede: Vorname Nachname,Telefon 03501 5065120,Telefax 03501 5856686,info13@awo-kiju.de,http://www.awo-kiju.de,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Hort an der Grundschule ""Gotthold Ephraim Lessing"", Pirna","Königsteiner Straße 22 a
01796 Pirna",,03501 467189,03501 467845,info3@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Hort an der Grundschule Brockwitz, Coswig","Dresdner Straße 170
01640 Coswig",,03523 701788,03523 534155,info9@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Hort an der Grundschule Zehista, Pirna","An der Schule 1
01796 Pirna",,03501 470979,03501 470978,info14@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrationsfachdienst, Dresden","Herzberger Straße 24/26
01239 Dresden",,0351 4146980,0351 414698220,info.dresden@ifd.3in.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrationsfachdienst, Meißen","Ossietzkystraße 37 a
01662 Meißen",Anrede: Vorname Nachname,03521 7139911,03521 713992211,info.dresden@ifd.3in.de,http://www.awo-sonnenstein.de,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrative Kindertageseinrichtung ""Buratino"", Gröditz","Hanns-Eisler-Weg 1
01609 Gröditz",,035263 67339,035263 34793,mail14@awo-in-sachsen.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrative Kindertageseinrichtung ""Knirpsenland"", Pirna","Boleslawiecer Straße 1
01796 Pirna",,03501 773082,03501 790367,info1@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrative Kindertageseinrichtung ""Kunterbunt"", Weinböhla","Köhlerstraße 29
01689 Weinböhla",,035243 32307,035243 44741,info11@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrative Kindertageseinrichtung ""Niederauer Entdecker"", Meißen","Smetanastraße 20
01662 Meißen",,03521 732256,03521 406437,info8@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrative Kindertageseinrichtung Schlängelbachweg, Pirna","Schlängelbachweg 1
01796 Pirna",,03501 447533,03501 571138,info2@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Integrative und heilpädagogische Kindertageseinrichtung ""Menschenskinder"", Pirna","Otto-Walther-Straße 14
01796 Pirna",,03501 780913,03501 710805,info40@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Intensiv-therapeutische Wohngruppen des Kinder- und Jugendwohnens ""Tannenmühle"" Erlbach, Markneukirchen","
08258  Markneukirchen",Ansprechpartnerin: Frau  Dr. Puggel & Frau Langhammer,037422/6196,037422/2364,kht@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Jobladen, Dresden","Bürgerstraße 68
01127 Dresden",,0351 4278920,0351 4278498,info33@awo-kiju.de,,AWO Kinder- und Jugendhilfe gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO JugendhilfeNetz, Zwickau","Hofleite 2
08056 Zwickau",Leiterin: Ina Weltzer,0375 / 21 33 73,0375 / 2 73 78 48,jugendhilfenetz@awo-zwickau.de,http://https://www.awo-zwickau.de/kinder-jugend/jugendhilfe-netz,AWO Kreisverband Zwickau e.V.,http://www.awo-suedwestsachsen.de
"AWO JugendhilfeNetz ""Familiennest City"", Zwickau","Spiegelstraße 9
08056 Zwickau",Ansprechpartnerin: Steffi Schneider,0375 / 2 11 88 45,,familiennest@awo-zwickau.de,http://https://www.awo-zwickau.de/kinder-jugend/jugendhilfe-netz,AWO Kreisverband Zwickau e.V.,http://www.awo-suedwestsachsen.de
