name,address,contact_person,telephone,email
AWO Jugendmigrationsdienst Meppen,"Schützenstraße 17
49716 Meppen",,0 59 3120 83 4,info@awo-jugendmigrationsdienst-meppen.de
,,,,info@awo‑ammerland.de
AWO Mutter-Kind-Klinik Lotte-Lemke-Haus,"Lammertshörn 19 b
26427 Esens",Christian Keck,0 49 7120 10,info@lotte-lemke-haus.de
AWO Projekt Regenbogen 3.0,"Eutiner Str. 61
26125 Oldenburg",Jaqueline Ritter,04 4136 10 59 72,info@awo-ol-regenbogen.de
AWO Tagespflege am Zwischenahner Meer,"Elmendorfer Straße 25
26160 Bad Zwischenahn",Monika Mastalerz,0 44 0397 89 78,info@awo-tagespflege-am-zwischenahner-meer.de
AWO Wohnanlage Sutthausen,"Forststraße 12
49082 Osnabrück-Sutthausen",Hannah Mogdans,05 4150 58 20,info@wohnanlage-sutthausen.de
AWO Wohnortnahe Erziehungshilfe Wilhelmshaven,"Bremer Str. 171
26382 Wilhelmshaven",Meike Luitjens,0 44 219 56 91 42,info@awo-wohnortnahe-erziehungshilfe-whv.de
AWO Wohnpark Pewsum,"Manningastraße 4
26736 Krummhörn",Martina Janeczek,0 49 2391 05-0,info@wohnpark-pewsum.de
AWO Wohnpark Up Fehn,"Im Hooge Brinken 3
26629 Großefehn",Angela Schütte,0 49 432 00 60,info@wohnpark-upfehn.de
AWO Wohnpark Wardenburg,"Am Fischerheim 3
26203 Wardenburg",Johanna Meyborg,0 44 0771 65-0,info@wohnpark-wardenburg.de
AWO Wohnpark Wiesmoor,"Kastanienstraße 11
26639 Wiesmoor",Lars Bonk,0 49 449 13 26-0,info@wohnpark-wiesmoor.de
AWO Wohnzentrum Gezeitenhaus Emden,"Hermann-Allmers-Straße 105
26721 Emden",Roland Bitzhöfer,0 49 219 48 30,info@awo-gezeitenhaus.de
"Beratungsstelle der AWO für Kinder, Jugendliche und Eltern Brake","Hafenstraße 2
26919 Brake",Susanne Blümer,0 44 019 37 90,info@beratungsstelle-brake.de
"Beratungsstelle der AWO für Kinder, Jugendliche und Eltern mit Praxis für Sprachtherapie Nordenham","Hansingstraße 19
26954 Nordenham",Susanne Blümer,0 47 319 42 20,info@beratungsstelle-nordenham.de
"Beratungsstelle für Kinder, Jugendliche und Eltern mit Praxis für Sprachtherapie in Aurich","Georgswall 9/Eingang Carolinengang
26603 Aurich",Stefan Eilers,0 49 416 51 11,info@beratungsstelle-aurich.de
Betreutes Wohnen an't Padd Großefehn,"Bahnhofsplatz 5-5a
26629 Großefehn",Sebastian Roth,04 4148 01-3 03,info@wup.awo-ol.de
,,Sebastian Roth,,
,,Sebastian Roth,,
Burgbergschule Förderschule Schwerpunkt Sprache und Lernen,"Vor der Burg 4
31162 Bad Salzdetfurth",Beate Jürgens,0 50 6341 66,info@awo-burgbergschule.de
Familienberatungsstelle Leer,"Heisfelder Straße 28
26789 Leer",Maike Winkler,04 916 20 92,info@btz-leer.de
Familienberatungsstelle Oldenburg,"Cloppenburger Straße 65
26135 Oldenburg",Anke Cassens-Jürgens,04 4197 37 70,info@beratungsstelle-oldenburg.de
EFi-Projekt in der Freizeit- und Begegnungsstätte Frisbee,"Dwaschweg 281
26133 Oldenburg",,0441 4853663,gizem.yuece@awo-ol.de
Hand in Hand,"Eutiner Str. 61
26125 Oldenburg",Jaqueline Ritter,04 4136 10 59 72,info@awo-handinhand.de
Heilpädagogisch-Therapeutische Einrichtung Werscherberg,"Marie-Juchacz-Straße 1-2
49143 Bissendorf",Thomas Heise,0 54 024 05 80,info@hpte-werscherberg.de
Heilpädagogische Tagesstätte Delmenhorst,"Wilhelm-Raabe-Straße 7
27753 Delmenhorst",Laura Biegala,0 42 2195 00 80,info@hpt-delmenhorst.de
Heilpädagogische Tagesstätte Ganderkesee,"Goldregenweg 17
27777 Ganderkesee",Laura Biegala,0 42 2294 64 81,info@hpt-ganderkesee.de
Hermann-Bontjer-Haus,"Popenser Straße 136
26605 Aurich-Popens",Susanne Ohlf,0 49 419 53 50,info@hermann-bontjer-haus.de
Integrationsfachdienst AfA-Reha,"Stau 19
26122 Oldenburg",Marie-Christin Müller,04 4177 03 55 66,info@ifd-afa-reha-oldenburg.de
Kindertagesstätte Schulstraße,"Schulstraße 21 a
26135 Oldenburg",Heike Sluiter,04 411 41 30,info@awo-kita-oldenburg.de
Kindertagesstätte Vechta,"Graskamp 1
49377 Vechta",Sandra Heitmann,0 44 418 22 56,info@awo-kita-vechta.de
Kultursensible Altenhilfe,"Münnichstraße 22
26133 Oldenburg",Birte Flörcken,04 4194 91 91 11,kusak@awo-ol.de
Migrationsberatung Meppen,"Kirchstraße 5-6
49716 Meppen",,0 59 315 98 81 73,info@awo-migrationsberatung-meppen.de
Migrationsberatung Oldenburg,"Wallstraße 11
26122 Oldenburg",,04 4195 72 24-15,info@migrationsberatung-oldenburg.de
Migrationsberatung Osnabrück,"Neumarkt 11
49074 Osnabrück",,05 419 81 11-20,info@migrationsberatung-osnabrueck.de
Mobiler Dienst für Grundschulen - Mosaikschule,"Lessingstraße 25a
27753 Delmenhorst",Laura Biegala,0 42 212 98 53 37,
Rehabilitationsklinik Werscherberg,"Am Werscher Berg 3
49143 Bissendorf",,0 54 0240 60,info@rehaklinik-werscherberg.de
Seniorenzentrum Frieda-Lohr-Haus,"Moselstraße 6
49565 Bramsche",Marco Bergmann,0 54 619 31 70,info@frieda-lohr-haus.de
Sprachheilkindergarten Aurich mit Hörbehindertengruppe und Integrationsgruppe,"Lazarettweg 8
26603 Aurich",Gudrun Berg,0 49 419 90 30,info@sprachheilkindergarten-aurich.de
Sprachheilzentrum mit Sprachheilkindergarten Bad Salzdetfurth,"Burgweg 1-3
31162 Bad Salzdetfurth",Christine Zellmann,0 50 6327 90,info@sprachheilzentrum-bad-salzdetfurth.de
Sprachheilkindergarten Cuxhaven,"Strichweg 193
27476 Cuxhaven",Bianca Scholz,0 47 214 94 64,info@sprachheilkindergarten-cuxhaven.de
Sprachheilkindergarten Delmenhorst,"Pommernstraße 19
27749 Delmenhorst",Bettina Gienapp,0 42 219 52 50 40,info@sprachheilkindergarten-delmenhorst.de
Sprachheilkindergarten Emlichheim,"Haselaarweg 35-37
49824 Emlichheim",Katrin Broekman,0 59 4319 96,info@sprachheilkindergarten-emlichheim.de
Sprachheilkindergarten für hör- und sprachgeschädigte Kinder Nienburg/Stolzenau,"Bismarckstraße 40
31582 Nienburg",Alexandra Stückelmaier,0 50 2160 21 90,info@sprachheilkindergarten-nienburg.de
Sprachheilkindergarten für hör- und sprachgeschädigte Kinder Nienburg/Stolzenau,"Bismarckstraße 40
31582 Nienburg",Alexandra Stückelmaier,0 50 2160 21 90,info@sprachheilkindergarten-nienburg.de
Sprachheilkindergarten Ganderkesee,"Goldregenweg 17
27777 Ganderkesee",Maike Stolle,0 42 2294 64 80,info@sprachheilkindergarten-ganderkesee.de
Sprachheilkindergarten Hemmoor,"Klinkerbogen 25
21745 Hemmoor",Bianca Scholz,0 47 7188 73 76,info@sprachheilkindergarten-hemmoor.de
Sprachheilkindergarten Nordenham,"Körnerstraße 31
26954 Nordenham",Daniela Meyer,0 47 3140 28,info@sprachheilkindergarten-nordenham.de
Sprachheilkindergarten Nordhorn,"Marie-Juchacz-Straße 2
48527 Nordhorn",Barbara Wilczek,0 59 213 76 45,info@sprachheilkindergarten-nordhorn.de
Sprachheilkindergarten Oldenburg,"Nadorster Straße 298-302
26125 Oldenburg",Nadine Repler,04 419 31 00 50,info@sprachheilkindergarten-oldenburg.de
Sprachheilkindergarten Pewsum,"Manningastraße 4
26736 Krummhörn",Silke Braaksma,0 49 2391 05-190,info@sprachheilkindergarten-pewsum.de
Sprachheilkindergarten Werscherberg,"Marie-Juchacz-Straße 1-2
49143 Bissendorf",Thomas Heise,0 54 0240 59,info@sprachheilkindergarten-werscherberg.de
Sprachheilkindergarten Wilhelmshaven,"Masurenstraße 17
26388 Wilhelmshaven",Meike Luitjens,0 44 2191 30 10,info@sprachheilkindergarten-wilhelmshaven.de
Sprachheilzentrum mit Sprachheilkindergarten Bad Salzdetfurth,"Burgweg 1-3
31162 Bad Salzdetfurth",Christine Zellmann,0 50 6327 90,info@sprachheilzentrum-bad-salzdetfurth.de
Sprachheilzentrum mit Sprachheilkindergarten Werscherberg,"Marie-Juchacz-Straße 1-2
49143 Bissendorf",Thomas Heise,0 54 0240 50,info@sprachheilzentrum-werscherberg.de
Sprachheilzentrum mit Sprachheilkindergarten Wilhelmshaven,"Masurenstraße 17
26388 Wilhelmshaven",Meike Luitjens,0 44 2191 30 10,info@sprachheilzentrum-wilhelmshaven.de
Werscherbergschule Förderschule Schwerpunkt Emotionale und Soziale Entwicklung,"Marie-Juchacz-Straße
49143 Bissendorf",Rolf-Peter Jacobs,0 54 024 05 50,info@werscherbergschule.de
Wohnanlage am Mühlenhof,"Mühlenstraße 80
26180 Rastede",Denise Neßmann,0 44 0292 91 90,info@wohnanlage-am-muehlenhof.de
Wohnanlage Günter Storck - Schlichthorst,"Schloßallee 1
49586 Merzen/Engelern",Thomas Bokeloh,0 59 0130 20,info@wohnanlage-schlichthorst.de
Wohnanlage Haus am Schölerberg,"Hospitalweg 1
49124 Georgsmarienhütte",Michelle Möhle,05 419 52 00,info@wohnanlage-schoelerberg.de
Wohnpark Lemwerder Haus am See,"Stedinger Straße 67
27809 Lemwerder",Maria Rewerski,04 2163 92 70,info@haus-am-see-lemwerder.de
Jobcoaching und Vermittlung AuVschwunG,"Heiligenstraße 7
27793 Wildeshausen",Alexandra von Brackel,0 44 317 48 36 92,
AWO Stadtteiltreff Abenteuerspielplatz Lingen,"Ruth-West-Platz 1
49809 Lingen (Ems)",,05 91 12 07 74 84,asp-lingen@gmx.de
